id,x,y,d,p
0,15,15,0,0
1,9.6,4,6,5
2,17.5,27.6,7,7
3,3.6,3.4,7,4
4,20,5.2,2,4
5,12.8,15,2,4
6,27.9,3.4,5,2
7,3.4,16.4,4,5
8,2,26.5,6,3
9,13.8,14.7,5,4
10,16.7,14.7,2,8
11,1.4,28.7,0,2
12,14.8,20,0,4
13,19.7,29.2,0,6
14,1.6,8.7,0,5
15,14.1,4.3,0,1
16,10,12.7,0,8
17,7.7,11.6,0,9
18,13.5,8.1,0,5
19,3.9,20.7,0,4
20,2.6,19.5,0,8
21,16.3,26.8,0,2
22,22,17.7,0,7
23,5.8,11.5,0,3
24,26.8,0.9,0,6
25,13.6,24.2,0,9
26,7.7,22.2,0,8
27,26.6,16.2,0,7
28,16.4,8.8,0,3
29,5,28.7,0,2
30,2.8,5,0,5
31,6.8,14.3,5,0
32,0.1,20.7,7,0
33,17.2,8.7,5,0
34,3.6,19.9,3,0
35,15.8,8.7,3,0
36,22.6,11.6,4,0
37,1.2,0.3,9,0
38,11.1,5.8,5,0
39,27.3,26.6,4,0
40,20.4,27.3,6,0
41,5.2,24.1,5,0
42,9.9,6.8,4,0
43,4.4,1.8,3,0
44,20.1,9.7,6,0
45,5.3,10.1,3,0
46,25.9,4,8,0
47,0,28.2,3,0
48,21.4,7.7,7,0
49,9,21.4,2,0
50,15.6,9.8,3,0
