id,x,y
0,1.867574948,0.718503991
1,3.60159181,20.98513324
2,11.20386053,5.914001336
3,7.799044462,9.63649327
4,26.38136345,23.11977676
5,3.077818451,21.10408759
6,19.20679728,9.951508864
7,24.13828407,3.783814473
8,21.20571621,4.598730384
9,16.95927453,19.73513328
10,26.61943424,25.10853654
11,8.882466506,4.016456587
12,22.22417524,26.96084477
13,24.04910486,19.44181713
14,23.32347029,4.715705279
15,13.94175759,6.561620617
16,28.20955118,27.69025064
17,7.027035766,23.61196052
18,26.00334238,14.33550279
19,2.947101577,13.40449509
20,19.93879114,16.9943051
21,14.59175469,11.47750734
22,11.50961025,7.924307108
23,27.15262803,8.07351824
24,6.21660952,7.145300714
25,8.97469034,14.70389698
26,11.71403329,17.19686895
27,8.364382194,8.943894945
28,19.46389039,17.62081336
29,11.41980053,13.87861227
30,10.70484255,11.41408425
31,8.76681202,16.8834895
32,18.781884,4.585600343
33,22.01063231,1.461902702
34,28.58803274,29.52687374
35,29.18112929,26.21454911
36,5.885438832,0.571331681
37,14.08332199,1.600387664
38,24.31243509,16.98417037
39,5.66408222,20.61909998
40,3.657003089,9.087339234
41,27.95332596,28.19672363
42,6.371667527,6.295771626
43,18.05018515,13.30670672
44,21.96945724,22.92809507
45,17.37113122,13.82404214
46,3.716713686,2.685633021
47,13.68532662,21.21480537
48,23.66695682,27.51584408
49,1.419964199,1.172985078
50,26.74503396,24.0952223
51,17.40951561,14.85447301
52,0.035340713,23.17500483
53,29.53135897,15.18384108
54,16.0905408,3.664003316
55,23.24996788,4.585245267
56,3.585169444,27.55257576
57,5.639066292,0.103766394
58,8.666109313,11.24480985
59,20.92538969,18.27725163
60,0.137891627,12.62611548
61,8.210530732,3.616875838
62,23.01384885,19.94795985
63,10.35669072,12.94218529
64,19.25263789,18.94112407
65,13.97588846,1.565013049
66,2.620286928,29.16709289
67,27.43013527,5.418909946
68,12.2088335,13.90726006
69,2.267619419,12.45767613
70,21.46767554,29.80560473
71,5.751433136,28.17800491
72,12.28077011,23.04198877
73,24.15326303,19.80335618
74,3.230866751,12.30828551
75,19.16483941,1.517113085
76,9.741888434,15.77400617
77,27.22696412,3.003696731
78,7.482320455,21.56079727
79,16.73635276,2.476550543
80,22.85934195,26.86171422
81,27.20864238,17.65283053
82,1.78070814,0.223614398
83,15.31474025,15.35600965
84,6.575488405,19.23337066
85,11.11735081,26.67217863
86,17.00584971,25.57297252
87,0.560532366,26.33784227
88,10.0922256,4.272622356
89,12.358649,11.09244359
90,10.90478122,14.84410893
91,29.46319379,7.057637895
92,3.014924149,20.53677839
93,16.11659018,6.662505287
94,1.58308693,17.02266521
95,9.010309976,15.8065044
96,24.90643997,13.77050512
97,24.78445304,21.58619523
98,25.95264678,21.99325935
99,2.920088779,1.061788145
100,14.46754156,7.560000178
